ts,open,high,low,close,volume,n_trades,vwap
2024-06-03 15:40:05+00:00,193.98,193.98,193.98,193.98,786,15,193.98
2024-06-03 15:40:06+00:00,,,,,0,0,
2024-06-03 15:40:07+00:00,193.99,193.99,193.98,193.98,195,5,193.98610256410257
2024-06-03 15:40:08+00:00,193.98,193.98,193.98,193.98,1,1,193.98
2024-06-03 15:40:09+00:00,,,,,0,0,
2024-06-03 15:40:10+00:00,193.98,193.98,193.98,193.98,300,4,193.98
2024-06-03 15:40:11+00:00,193.97,193.97,193.97,193.97,437,8,193.97
2024-06-03 15:40:12+00:00,193.96,193.96,193.96,193.96,103,2,193.96
2024-06-03 15:40:13+00:00,,,,,0,0,
2024-06-03 15:40:14+00:00,,,,,0,0,
2024-06-03 15:40:15+00:00,193.955,193.96,193.95,193.95,447,14,193.9501230425056
2024-06-03 15:40:16+00:00,193.96,193.96,193.96,193.96,510,7,193.96
2024-06-03 15:40:17+00:00,193.96,194.02,193.96,193.99,3271,51,193.9896117395292
2024-06-03 15:40:18+00:00,193.99,193.99,193.98,193.98,225,3,193.98888888888888
2024-06-03 15:40:19+00:00,193.98,194.0,193.98,194.0,562,10,193.98829181494662
2024-06-03 15:40:20+00:00,193.98,193.98,193.97,193.98,723,18,193.9772199170125
2024-06-03 15:40:21+00:00,193.97,193.97,193.95,193.95,655,9,193.95613740458015
2024-06-03 15:40:22+00:00,193.95,193.98,193.95,193.97,775,12,193.9641935483871
2024-06-03 15:40:23+00:00,193.98,193.98,193.98,193.98,1,1,193.98
2024-06-03 15:40:24+00:00,193.98,193.98,193.98,193.98,399,6,193.98000000000002
2024-06-03 15:40:25+00:00,194.0,194.0,194.0,194.0,770,14,194.0
2024-06-03 15:40:26+00:00,194.01,194.02,194.01,194.02,14,2,194.0107142857143
2024-06-03 15:40:27+00:00,194.02,194.02,194.01,194.01,295,6,194.01844067796608
2024-06-03 15:40:28+00:00,194.01,194.01,194.01,194.01,8,1,194.01
2024-06-03 15:40:29+00:00,194.02,194.02,194.02,194.02,100,1,194.02
2024-06-03 15:40:30+00:00,,,,,0,0,
2024-06-03 15:40:31+00:00,,,,,0,0,
2024-06-03 15:40:32+00:00,194.03,194.03,194.03,194.03,300,5,194.03
2024-06-03 15:40:33+00:00,194.03,194.03,194.03,194.03,500,7,194.03
2024-06-03 15:40:34+00:00,,,,,0,0,
2024-06-03 15:40:35+00:00,194.03,194.03,194.03,194.03,1,1,194.03
2024-06-03 15:40:36+00:00,,,,,0,0,
2024-06-03 15:40:37+00:00,194.03,194.03,194.01,194.01,573,11,194.0264746945899
2024-06-03 15:40:38+00:00,194.01,194.02,194.01,194.02,411,12,194.01257907542578
2024-06-03 15:40:39+00:00,194.03,194.03,194.03,194.03,300,4,194.03
2024-06-03 15:40:40+00:00,194.04,194.07,194.04,194.07,551,6,194.05188747731395
2024-06-03 15:40:41+00:00,194.08,194.08,194.08,194.08,930,18,194.07999999999998
2024-06-03 15:40:42+00:00,,,,,0,0,
2024-06-03 15:40:43+00:00,,,,,0,0,
2024-06-03 15:40:44+00:00,,,,,0,0,
2024-06-03 15:40:45+00:00,,,,,0,0,
2024-06-03 15:40:46+00:00,194.07,194.07,194.07,194.07,3,1,194.07000000000002
2024-06-03 15:40:47+00:00,194.09,194.09,194.09,194.09,178,5,194.09000000000003
2024-06-03 15:40:48+00:00,,,,,0,0,
2024-06-03 15:40:49+00:00,194.09,194.1,194.09,194.1,588,9,194.0943707482993
2024-06-03 15:40:50+00:00,194.1,194.1,194.1,194.1,400,3,194.1
2024-06-03 15:40:51+00:00,194.08,194.08,194.08,194.08,400,4,194.08
2024-06-03 15:40:52+00:00,,,,,0,0,
2024-06-03 15:40:53+00:00,194.07,194.07,194.07,194.07,306,5,194.07
2024-06-03 15:40:54+00:00,194.07,194.07,194.07,194.07,2,1,194.07
2024-06-03 15:40:55+00:00,194.08,194.08,194.08,194.08,109,2,194.08
2024-06-03 15:40:56+00:00,194.1,194.1,194.1,194.1,330,5,194.1
2024-06-03 15:40:57+00:00,194.11,194.11,194.11,194.11,125,2,194.11
2024-06-03 15:40:58+00:00,194.1,194.1,194.1,194.1,108,3,194.1
2024-06-03 15:40:59+00:00,,,,,0,0,
2024-06-03 15:41:00+00:00,,,,,0,0,
2024-06-03 15:41:01+00:00,194.1,194.1,194.1,194.1,121,6,194.1
2024-06-03 15:41:02+00:00,194.09,194.09,194.07,194.07,1226,16,194.07960848287112
2024-06-03 15:41:03+00:00,194.06,194.06,194.06,194.06,532,13,194.05999999999997
2024-06-03 15:41:04+00:00,194.06,194.06,194.05,194.05,601,16,194.05001663893512
2024-06-03 15:41:05+00:00,194.03,194.03,194.01,194.02,140,8,194.0274285714286
2024-06-03 15:41:06+00:00,,,,,0,0,
2024-06-03 15:41:07+00:00,,,,,0,0,
2024-06-03 15:41:08+00:00,194.01,194.01,194.01,194.01,1049,19,194.01
2024-06-03 15:41:09+00:00,194.01,194.01,194.0,194.0,1306,14,194.0030627871363
2024-06-03 15:41:10+00:00,193.99,193.99,193.99,193.99,3,1,193.99
2024-06-03 15:41:11+00:00,194.0,194.0,194.0,194.0,2,2,194.0
2024-06-03 15:41:12+00:00,194.0,194.0,193.99,193.99,1102,17,193.99272232304898
2024-06-03 15:41:13+00:00,193.98,194.0,193.98,193.99,1113,16,193.99402515723267
2024-06-03 15:41:14+00:00,194.0,194.0,194.0,194.0,1295,17,194.0
2024-06-03 15:41:15+00:00,193.98,193.98,193.98,193.98,6,1,193.98
2024-06-03 15:41:16+00:00,194.0,194.0,194.0,194.0,100,2,194.0
2024-06-03 15:41:17+00:00,194.0,194.0,193.99,194.0,1836,20,193.99945533769062
2024-06-03 15:41:18+00:00,,,,,0,0,
2024-06-03 15:41:19+00:00,193.99,194.0,193.99,194.0,3718,41,193.99991662183967
2024-06-03 15:41:20+00:00,194.0,194.0,193.995,193.995,301,4,193.9983388704319
2024-06-03 15:41:21+00:00,194.0,194.0,194.0,194.0,773,11,194.0
2024-06-03 15:41:22+00:00,,,,,0,0,
2024-06-03 15:41:23+00:00,193.99,194.0,193.99,194.0,1490,19,193.99544966442951
2024-06-03 15:41:24+00:00,194.0,194.02,194.0,194.02,5067,74,194.00144069469113
2024-06-03 15:41:25+00:00,194.04,194.04,194.03,194.03,8,4,194.03375
2024-06-03 15:41:26+00:00,194.03,194.03,194.03,194.03,3,1,194.03
2024-06-03 15:41:27+00:00,194.02,194.02,194.02,194.02,101,2,194.02
